hops,src_region,dst_region,throughput,latency
9,af-south-1,ap-northeast-1,26,354
10,af-south-1,ap-south-1,36,271
12,af-south-1,ap-southeast-2,20,410
13,af-south-1,eu-north-1,59,179
11,af-south-1,eu-south-1,67,162
10,af-south-1,me-south-1,33,287
8,af-south-1,sa-east-1,27,340
11,af-south-1,us-east-2,43,237
12,af-south-1,us-west-2,35,276
9,ap-northeast-1,ap-south-1,89,127
11,ap-northeast-1,ap-southeast-2,112,102
12,ap-northeast-1,eu-north-1,42,241
10,ap-northeast-1,eu-south-1,48,214
9,ap-northeast-1,me-south-1,66,164
8,ap-northeast-1,sa-east-1,39,256
9,ap-northeast-1,us-east-2,85,131
11,ap-northeast-1,us-west-2,108,96
12,ap-south-1,ap-southeast-2,75,146
13,ap-south-1,eu-north-1,81,138
11,ap-south-1,eu-south-1,103,110
10,ap-south-1,me-south-1,336,36
8,ap-south-1,sa-east-1,30,305
10,ap-south-1,us-east-2,53,197
12,ap-south-1,us-west-2,48,215
15,ap-southeast-2,eu-north-1,32,295
13,ap-southeast-2,eu-south-1,42,238
12,ap-southeast-2,me-south-1,59,179
10,ap-southeast-2,sa-east-1,31,310
11,ap-southeast-2,us-east-2,56,187
14,ap-southeast-2,us-west-2,80,139
13,eu-north-1,eu-south-1,404,30
13,eu-north-1,me-south-1,81,137
11,eu-north-1,sa-east-1,48,214
11,eu-north-1,us-east-2,94,119
14,eu-north-1,us-west-2,67,162
11,eu-south-1,me-south-1,105,108
9,eu-south-1,sa-east-1,49,211
11,eu-south-1,us-east-2,104,109
13,eu-south-1,us-west-2,70,157
9,me-south-1,sa-east-1,29,319
11,me-south-1,us-east-2,49,212
12,me-south-1,us-west-2,38,251
8,sa-east-1,us-east-2,92,121
10,sa-east-1,us-west-2,60,178
9,us-east-2,us-west-2,105,55
