latency,hops,throughput,src_region,dst_region
283,9,61,af-south-1,ap-northeast-1
153,10,90,af-south-1,ap-south-1
407,12,44,af-south-1,ap-southeast-2
176,13,91,af-south-1,eu-north-1
180,11,98,af-south-1,eu-south-1
140,10,122,af-south-1,me-south-1
339,8,58,af-south-1,sa-east-1
236,11,85,af-south-1,us-east-2
271,12,69,af-south-1,us-west-2
131,9,122,ap-northeast-1,ap-south-1
107,11,168,ap-northeast-1,ap-southeast-2
240,12,78,ap-northeast-1,eu-north-1
212,10,87,ap-northeast-1,eu-south-1
173,9,102,ap-northeast-1,me-south-1
270,8,62,ap-northeast-1,sa-east-1
145,9,120,ap-northeast-1,us-east-2
96,11,218,ap-northeast-1,us-west-2
146,12,113,ap-south-1,ap-southeast-2
144,13,135,ap-south-1,eu-north-1
107,11,161,ap-south-1,eu-south-1
35,10,624,ap-south-1,me-south-1
296,8,55,ap-south-1,sa-east-1
193,10,92,ap-south-1,us-east-2
262,12,101,ap-south-1,us-west-2
294,15,64,ap-southeast-2,eu-north-1
237,13,81,ap-southeast-2,eu-south-1
187,12,85,ap-southeast-2,me-south-1
310,10,54,ap-southeast-2,sa-east-1
186,11,105,ap-southeast-2,us-east-2
139,14,140,ap-southeast-2,us-west-2
178,13,751,eu-north-1,eu-south-1
136,13,146,eu-north-1,me-south-1
216,11,92,eu-north-1,sa-east-1
118,11,144,eu-north-1,us-east-2
157,14,120,eu-north-1,us-west-2
108,11,165,eu-south-1,me-south-1
211,9,80,eu-south-1,sa-east-1
108,11,181,eu-south-1,us-east-2
150,13,115,eu-south-1,us-west-2
270,9,66,me-south-1,sa-east-1
167,11,84,me-south-1,us-east-2
211,12,92,me-south-1,us-west-2
121,8,140,sa-east-1,us-east-2
173,10,106,sa-east-1,us-west-2
48,9,458,us-east-2,us-west-2
